"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-29","10.74","1.81","0.0",,"59","43",,"   70","23.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-30","10.07","0.35","0.0",,"49","39",,"   10","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-31","8.28","0.16","0.0",,"56","36",,"  340","13.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-01","4.70","0.00","0.0",,"60","39",,"   20","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-02","2.01","0.00","0.0",,"54","42",,"  230","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-03","3.80","0.07","0.0",,"67","46",,"  190","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-04","8.50","0.21","0.0",,"47","40",,"   90","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-05","8.50","0.00","0.0",,"54","40",,"  280","19.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-06","4.25","0.00","0.0",,"61","36",,"  280","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-07","6.04","0.52","0.0",,"53","43",,"   70","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-08","6.93","0.34","0.0",,"64","46",,"  290","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-09","6.93","0.00","0.0",,"61","45",,"  310","17.0",,,,,,,
